-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 05/14/2026 in LST
Location: latitude  23.8103   longitude 90.4125 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M
1981,3,31,27.23,33.13,22.59,69.34,7.39,2.64
1981,4,1,26.59,32.62,20.98,72.44,13.06,3.45
1981,4,2,28.28,35.42,21.99,64.14,2.86,2.57
1981,4,3,29.5,36.54,22.8,61.92,0.25,3.37
1981,4,4,29.84,36.55,23.5,65.59,2.05,3.47
1981,4,5,29.93,37.98,24.36,63.97,4.2,3.22
1981,4,6,29.4,38.32,22.23,51.56,0.83,2.59
1981,4,7,27.93,37.58,17.3,38.79,0.0,1.42
1981,4,8,28.42,37.51,19.57,48.67,0.0,1.77
1981,4,9,28.61,37.86,19.25,50.15,0.13,2.15
1981,4,10,29.15,38.7,20.82,54.31,0.42,2.38
1981,4,11,29.12,37.7,21.73,61.93,9.61,2.83
1981,4,12,26.53,32.53,22.01,75.25,30.92,3.23
1981,4,13,27.6,33.96,21.12,69.43,1.73,2.64
1981,4,14,29.0,34.98,24.45,67.53,0.0,3.17
1981,4,15,28.84,34.45,23.56,66.41,0.42,2.66
1981,4,16,28.01,34.11,23.72,75.53,12.7,2.51
1981,4,17,26.41,30.38,23.66,85.35,84.61,3.36
1981,4,18,26.86,31.71,23.14,84.57,17.55,3.47
1981,4,19,26.82,31.53,24.38,86.1,27.58,4.21
1981,4,20,25.44,29.46,21.21,80.84,25.26,1.44
1981,4,21,25.34,30.75,19.52,72.36,2.25,1.05
1981,4,22,26.6,31.87,20.42,70.67,0.43,1.24
1981,4,23,26.94,31.69,22.36,79.79,0.8,1.64
1981,4,24,26.9,31.06,23.39,82.86,0.23,1.78
1981,4,25,27.21,33.34,22.59,75.98,0.01,1.07
1981,4,26,28.2,34.58,21.9,70.13,0.0,1.26
1981,4,27,28.11,34.53,22.16,69.25,0.04,1.85
1981,4,28,27.84,34.2,21.6,67.65,0.08,1.33
1981,4,29,28.44,34.25,23.05,70.59,0.02,2.0
1981,4,30,28.82,34.09,23.66,71.5,0.57,1.63
1981,5,1,30.16,36.86,25.03,66.51,0.13,2.68
1981,5,2,29.66,36.23,24.0,65.61,0.02,2.61
1981,5,3,28.23,33.51,22.56,67.04,1.78,1.2
1981,5,4,29.37,34.7,24.11,62.7,0.24,1.05
1981,5,5,28.25,33.04,23.83,64.63,0.06,1.52
1981,5,6,27.48,33.51,22.78,62.85,1.72,1.8
1981,5,7,27.87,34.41,21.98,62.83,2.11,1.89
1981,5,8,27.23,33.01,22.78,67.45,1.56,2.3
1981,5,9,26.3,29.32,23.3,79.54,2.58,1.91
1981,5,10,27.89,31.77,24.62,77.81,15.71,1.58
1981,5,11,28.41,32.66,24.55,75.39,0.31,1.6
1981,5,12,29.52,34.62,24.38,71.14,23.52,1.81
1981,5,13,29.24,34.2,24.07,73.29,26.76,2.1
1981,5,14,29.48,34.97,24.47,73.44,9.26,2.03
1981,5,15,29.7,34.8,25.6,74.16,1.87,2.97
1981,5,16,29.08,33.88,25.14,80.29,24.3,3.45
1981,5,17,28.87,33.12,25.79,82.75,18.35,3.48
1981,5,18,28.58,32.4,24.7,77.54,6.97,1.74
1981,5,19,29.73,34.29,24.94,71.83,0.0,1.07
1981,5,20,29.71,34.06,26.16,76.36,1.8,2.78
1981,5,21,28.89,33.85,25.23,76.74,11.57,3.27
1981,5,22,28.55,33.57,24.72,78.08,2.87,2.65
1981,5,23,29.21,33.82,25.05,77.44,3.39,2.08
1981,5,24,28.95,32.91,25.56,78.98,0.97,2.52
1981,5,25,28.36,32.76,25.07,80.82,3.36,2.31
1981,5,26,29.27,34.86,25.04,74.35,5.11,2.55
1981,5,27,29.25,34.33,24.72,76.15,4.07,2.94
1981,5,28,28.95,33.6,25.6,81.38,9.31,4.19
1981,5,29,28.72,32.6,25.52,81.84,12.93,3.8
1981,5,30,28.84,32.6,25.84,83.28,16.06,3.52
1981,5,31,28.83,32.25,26.07,83.73,6.75,2.63
1981,6,1,28.02,30.74,26.02,86.82,6.49,2.55
1981,6,2,28.73,32.68,25.4,81.86,3.76,2.21
1981,6,3,28.87,32.9,25.53,81.39,4.21,2.11
1981,6,4,30.24,35.88,25.89,81.21,1.17,3.01
1981,6,5,29.93,34.25,27.02,79.88,6.02,3.7
1981,6,6,29.87,34.29,26.39,81.3,3.09,4.01
1981,6,7,28.92,33.13,25.52,77.14,0.48,2.65
1981,6,8,28.81,33.32,24.82,73.29,0.08,1.63
1981,6,9,28.83,34.28,23.92,71.79,0.01,1.97
1981,6,10,28.98,33.49,24.51,74.8,10.07,1.81
1981,6,11,30.52,36.25,24.79,68.94,2.98,1.52
1981,6,12,30.99,36.38,25.81,70.18,3.63,2.27
1981,6,13,30.74,34.8,26.84,75.86,3.51,2.38
1981,6,14,29.96,33.88,26.82,80.92,10.19,1.8
1981,6,15,29.68,32.95,26.82,81.07,3.57,2.0
1981,6,16,29.13,33.52,25.72,77.6,1.71,3.13
1981,6,17,28.98,33.88,24.58,75.13,0.87,3.17
1981,6,18,29.92,35.63,25.0,71.27,0.78,2.82
1981,6,19,30.12,35.16,26.2,75.79,14.29,2.15
1981,6,20,29.06,33.2,26.48,83.29,8.82,3.76
1981,6,21,29.46,33.93,26.68,80.49,6.97,4.08
1981,6,22,28.72,32.46,25.75,84.53,15.85,4.29
1981,6,23,29.35,33.05,26.41,81.5,1.69,3.82
1981,6,24,29.32,33.56,25.78,81.16,7.62,4.08
1981,6,25,29.08,32.85,26.38,79.81,3.81,3.33
1981,6,26,29.23,33.78,25.87,80.0,0.67,3.93
1981,6,27,29.26,33.86,25.89,79.24,2.95,4.31
1981,6,28,28.55,31.63,26.21,84.2,0.55,3.59
1981,6,29,28.23,31.33,26.23,86.23,7.56,3.69
1981,6,30,29.63,34.28,26.12,81.79,8.92,3.74
1981,7,1,28.85,32.32,26.56,87.26,38.08,3.1
1981,7,2,28.45,31.33,25.94,86.12,33.61,4.18
1981,7,3,28.82,32.01,26.28,85.51,21.45,3.22
1981,7,4,29.34,33.18,26.55,82.8,3.75,2.31
1981,7,5,29.07,32.53,26.35,84.0,0.87,2.55
1981,7,6,28.76,32.97,25.78,82.82,0.47,3.74
1981,7,7,28.61,33.22,25.57,83.8,1.28,3.19
1981,7,8,28.98,33.43,25.87,83.24,3.79,3.92
1981,7,9,28.79,32.71,25.84,82.81,9.15,3.46
1981,7,10,28.92,32.89,25.92,82.81,8.07,3.26
1981,7,11,29.07,33.89,25.36,84.28,2.89,3.31
1981,7,12,28.33,31.67,26.15,86.18,3.17,4.65
1981,7,13,28.76,32.8,25.77,85.05,6.8,4.2
1981,7,14,28.76,32.75,26.25,87.0,9.98,3.79
1981,7,15,29.12,32.8,26.36,84.05,7.38,3.56
1981,7,16,28.16,30.68,26.45,88.35,2.72,2.91
1981,7,17,27.56,29.92,25.76,89.05,18.68,2.97
1981,7,18,27.4,29.94,25.8,88.18,20.91,3.15
1981,7,19,28.19,31.78,25.41,85.27,17.45,2.02
1981,7,20,28.56,32.17,25.24,83.81,3.61,1.71
1981,7,21,29.09,32.9,25.68,84.56,12.09,1.73
1981,7,22,28.26,31.14,25.59,88.5,26.11,2.63
1981,7,23,28.26,32.45,25.34,86.58,9.98,3.31
1981,7,24,27.38,29.74,25.69,89.71,2.03,2.15
1981,7,25,28.63,32.5,25.1,86.12,1.78,2.83
1981,7,26,28.61,31.92,26.29,87.6,9.13,3.44
1981,7,27,28.07,30.71,26.15,89.87,29.26,3.59
1981,7,28,28.73,32.48,25.63,85.66,1.21,3.27
1981,7,29,28.7,32.16,26.17,86.99,1.3,3.66
1981,7,30,27.69,29.81,25.87,91.8,9.15,3.65
1981,7,31,28.24,31.4,25.94,88.49,15.2,2.76
1981,8,1,27.66,30.41,25.69,88.69,4.98,2.38
1981,8,2,27.28,30.38,25.25,88.15,6.26,1.85
1981,8,3,27.68,30.2,25.01,89.33,6.3,2.44
1981,8,4,28.05,31.31,25.69,87.95,1.77,2.8
1981,8,5,28.49,32.21,25.77,87.25,0.79,2.55
1981,8,6,28.72,32.18,25.72,87.38,9.45,2.31
1981,8,7,28.61,32.48,25.46,86.13,3.25,2.89
1981,8,8,28.36,32.33,25.98,86.27,2.56,3.85
1981,8,9,27.62,30.88,25.7,89.37,15.73,3.3
1981,8,10,28.62,32.5,25.59,86.38,8.04,2.93
1981,8,11,29.28,32.42,26.46,86.54,8.95,2.04
1981,8,12,28.86,31.28,26.61,88.32,8.04,1.6
1981,8,13,28.91,32.54,26.82,88.27,6.32,2.84
1981,8,14,28.57,32.37,26.15,86.47,2.63,4.46
1981,8,15,28.28,32.5,25.64,87.27,0.13,3.63
1981,8,16,28.29,31.7,25.57,86.06,3.22,3.27
1981,8,17,28.49,32.2,25.55,85.67,2.91,3.33
1981,8,18,28.57,32.03,26.15,87.32,5.27,3.16
1981,8,19,29.45,33.55,26.52,85.11,1.73,3.01
1981,8,20,28.95,32.54,26.43,86.0,3.88,2.72
1981,8,21,28.24,31.13,26.41,91.19,21.08,2.52
1981,8,22,28.56,32.46,26.13,87.02,8.95,3.39
1981,8,23,27.92,30.88,26.03,87.85,16.67,4.08
1981,8,24,28.05,30.92,25.71,87.61,14.43,3.61
1981,8,25,28.44,32.12,25.81,87.5,14.93,3.57
1981,8,26,28.2,31.23,25.91,86.3,5.17,2.58
1981,8,27,27.69,30.84,25.62,87.1,1.73,2.57
1981,8,28,27.25,30.27,25.46,90.29,34.15,3.31
1981,8,29,27.64,31.09,25.66,88.82,3.35,2.05
1981,8,30,28.22,32.08,24.66,86.33,0.35,2.11
1981,8,31,28.1,31.47,25.4,88.71,0.19,2.9
1981,9,1,28.65,32.27,26.25,87.42,0.91,3.21
1981,9,2,28.06,30.46,26.15,89.82,10.35,2.86
1981,9,3,28.13,31.56,25.32,87.66,15.97,2.78
1981,9,4,27.92,31.01,25.67,88.6,3.01,2.83
1981,9,5,28.35,32.27,25.46,87.78,1.91,2.66
1981,9,6,27.79,31.13,25.52,89.64,5.09,3.35
1981,9,7,27.38,29.95,25.79,91.12,2.54,2.36
1981,9,8,27.49,31.01,25.02,89.36,2.7,2.26
1981,9,9,27.3,29.59,25.53,91.02,16.07,2.72
1981,9,10,27.63,31.1,25.19,88.96,23.97,2.42
1981,9,11,27.83,31.36,25.26,88.53,8.98,2.8
1981,9,12,27.39,30.12,25.29,89.65,7.7,2.84
1981,9,13,27.47,30.63,25.42,88.74,21.24,2.14
1981,9,14,27.24,30.59,24.68,86.08,16.62,1.1
1981,9,15,27.6,31.27,24.47,85.76,1.0,1.09
1981,9,16,27.78,31.83,23.92,81.07,0.08,0.94
1981,9,17,28.25,32.19,24.0,77.83,0.01,0.66
1981,9,18,28.83,32.67,24.21,76.76,0.12,0.8
1981,9,19,29.67,32.98,26.96,72.19,0.65,0.44
1981,9,20,28.02,30.46,25.62,80.88,12.53,0.8
1981,9,21,28.77,33.48,23.98,79.38,1.64,0.99
1981,9,22,29.57,33.43,25.28,78.46,0.41,0.52
1981,9,23,29.92,34.17,26.66,78.16,0.58,0.67
1981,9,24,28.27,31.25,26.03,88.67,0.0,2.33
1981,9,25,27.78,30.25,25.64,88.93,1.36,2.1
1981,9,26,27.07,30.92,24.79,85.54,2.35,2.75
1981,9,27,27.72,31.86,24.24,86.83,1.74,2.67
1981,9,28,28.12,31.97,25.44,85.52,2.59,2.06
1981,9,29,27.91,31.68,24.72,89.08,14.74,2.67
1981,9,30,27.76,30.83,25.3,89.43,11.68,2.06
1981,10,1,27.53,30.78,25.07,87.68,18.0,1.91
1981,10,2,27.6,31.66,24.4,83.83,3.26,1.63
1981,10,3,27.57,31.88,24.15,76.2,0.25,0.91
1981,10,4,27.84,32.09,23.22,71.39,0.24,0.71
1981,10,5,27.41,32.03,23.67,72.65,0.01,0.9
1981,10,6,26.56,31.79,22.45,78.9,0.02,1.19
1981,10,7,25.45,31.29,19.32,67.89,0.02,1.33
1981,10,8,26.58,31.95,21.64,60.45,0.0,0.76
1981,10,9,26.36,32.11,21.8,62.73,0.0,0.88
1981,10,10,26.43,32.42,21.51,68.25,0.0,1.04
1981,10,11,27.22,32.58,22.05,68.38,0.0,0.73
1981,10,12,28.0,33.32,23.18,66.73,0.0,0.87
1981,10,13,28.16,33.35,22.48,71.27,0.01,1.11
1981,10,14,28.01,31.15,24.99,78.46,0.92,1.11
1981,10,15,27.85,32.03,24.91,78.31,0.65,0.85
1981,10,16,27.16,32.45,23.25,77.32,0.02,1.73
1981,10,17,26.25,32.91,21.34,73.59,0.0,2.09
1981,10,18,25.47,32.4,19.65,72.03,0.0,1.7
1981,10,19,25.43,31.78,19.95,69.19,0.0,1.13
1981,10,20,25.43,31.67,20.61,65.13,0.0,1.17
1981,10,21,25.55,31.36,20.56,64.84,0.0,1.09
1981,10,22,26.18,32.19,20.75,64.1,0.0,1.09
1981,10,23,26.63,32.71,20.44,65.18,0.0,1.15
1981,10,24,27.14,33.11,22.24,64.4,0.0,1.05
1981,10,25,26.67,33.01,20.98,65.75,0.0,1.1
1981,10,26,26.38,33.01,20.39,64.62,0.0,1.25
1981,10,27,26.59,32.86,21.35,68.19,0.0,1.5
1981,10,28,25.77,32.78,20.35,66.59,0.0,1.53
1981,10,29,24.79,30.5,19.82,63.81,0.0,1.52
1981,10,30,24.63,31.47,19.39,60.61,0.0,1.52
1981,10,31,24.83,32.1,18.73,59.04,0.0,1.3
1981,11,1,24.91,32.38,18.57,60.58,0.0,1.32
1981,11,2,24.62,32.1,18.64,60.92,0.0,1.53
1981,11,3,25.94,32.68,20.48,58.14,0.03,1.18
1981,11,4,27.29,33.4,21.39,64.53,0.1,1.09
1981,11,5,27.14,32.18,23.49,72.2,0.29,1.59
1981,11,6,25.45,32.78,19.52,60.22,0.01,1.98
1981,11,7,23.54,32.02,17.29,56.02,0.0,1.39
1981,11,8,24.36,32.04,17.45,54.38,0.0,0.9
1981,11,9,24.89,32.6,18.47,53.6,0.0,0.88
1981,11,10,24.27,30.85,18.42,68.62,0.0,1.35
1981,11,11,25.09,31.41,19.55,60.37,0.0,0.78
1981,11,12,24.58,31.73,18.06,56.15,0.0,1.01
1981,11,13,24.03,30.81,17.08,56.29,0.0,1.19
1981,11,14,24.18,31.41,18.67,56.95,0.0,1.94
1981,11,15,22.63,30.28,16.11,63.91,0.0,1.64
1981,11,16,23.72,31.61,16.36,58.97,0.0,1.06
1981,11,17,24.56,32.39,17.38,57.97,0.0,1.1
1981,11,18,24.21,31.82,17.61,55.26,0.0,1.2
1981,11,19,23.59,31.14,16.73,52.9,0.02,1.46
1981,11,20,24.23,31.91,16.95,64.97,0.29,1.89
1981,11,21,25.14,32.29,19.56,64.62,0.3,1.51
1981,11,22,23.46,31.46,17.21,59.89,0.01,1.67
1981,11,23,22.41,31.14,15.45,57.12,0.0,1.76
1981,11,24,21.62,30.57,14.32,54.76,0.0,1.34
1981,11,25,21.46,29.82,13.88,57.33,0.0,1.19
1981,11,26,22.22,30.13,15.13,56.43,0.0,0.94
1981,11,27,22.66,30.61,15.32,52.84,0.0,0.94
1981,11,28,22.84,29.66,15.31,48.33,0.0,0.63
1981,11,29,22.26,30.4,14.99,47.73,0.0,1.05
1981,11,30,21.6,29.66,14.23,50.89,0.0,0.94
1981,12,1,21.89,29.16,15.94,48.43,0.0,0.93
1981,12,2,21.9,29.9,14.29,51.33,0.0,1.04
1981,12,3,22.08,30.12,14.96,53.09,0.0,1.09
1981,12,4,22.39,29.85,15.59,54.27,0.0,0.67
1981,12,5,21.24,29.08,14.33,57.7,0.0,1.49
1981,12,6,22.4,30.24,15.49,55.53,0.0,0.98
1981,12,7,22.38,29.23,16.19,57.1,0.0,1.44
1981,12,8,22.69,28.45,17.11,61.4,0.02,1.02
1981,12,9,24.12,31.49,17.38,62.6,0.8,1.35
1981,12,10,22.33,25.79,20.47,84.65,10.66,2.31
1981,12,11,21.68,26.03,18.34,90.19,44.29,3.22
1981,12,12,20.85,27.87,14.82,74.41,0.81,1.69
1981,12,13,19.68,26.4,15.06,68.72,0.52,1.89
1981,12,14,18.56,25.79,12.53,70.4,0.0,1.12
1981,12,15,19.15,26.83,13.57,66.7,0.0,1.36
1981,12,16,17.79,25.67,11.47,61.63,0.0,1.51
1981,12,17,16.65,24.18,9.85,57.55,0.0,1.38
1981,12,18,18.12,24.49,13.33,51.73,0.0,0.84
1981,12,19,17.75,25.65,12.69,57.53,0.0,1.32
1981,12,20,17.29,25.4,11.29,57.47,0.0,1.34
1981,12,21,17.62,25.35,11.94,56.62,0.0,1.47
1981,12,22,18.14,25.98,12.79,54.18,0.0,1.53
1981,12,23,18.26,24.9,12.76,58.92,0.0,1.13
1981,12,24,17.69,22.5,13.25,63.97,0.0,0.94
1981,12,25,17.97,25.41,12.28,62.95,0.0,1.34
1981,12,26,17.4,25.04,11.07,64.65,0.0,1.35
1981,12,27,17.96,25.73,11.67,63.32,0.0,1.24
1981,12,28,18.32,26.25,12.57,58.74,0.0,1.37
1981,12,29,17.68,26.0,11.65,55.36,0.0,1.51
1981,12,30,17.8,25.89,11.71,53.19,0.0,1.41
1981,12,31,17.88,25.72,11.91,54.67,0.0,1.47
1982,1,1,17.52,25.02,11.71,56.94,0.0,1.27
1982,1,2,16.86,25.19,10.01,55.31,0.0,1.41
1982,1,3,17.43,25.11,10.2,49.48,0.0,1.14
1982,1,4,18.64,25.9,11.86,51.2,0.29,1.08
1982,1,5,20.04,26.92,12.99,54.91,0.06,1.07
1982,1,6,21.68,28.67,16.26,53.23,0.17,0.87
1982,1,7,19.27,25.74,14.6,64.48,0.0,1.26
1982,1,8,19.29,28.12,12.36,54.52,0.0,1.8
1982,1,9,20.27,27.84,14.55,51.94,0.0,1.33
1982,1,10,20.93,27.78,13.58,50.17,0.0,1.29
1982,1,11,21.74,28.28,15.57,59.01,0.58,1.2
1982,1,12,21.67,28.82,15.61,58.98,0.0,1.47
1982,1,13,19.57,27.28,13.47,54.07,0.0,1.83
1982,1,14,18.37,27.27,11.17,48.52,0.0,1.7
1982,1,15,18.22,27.02,11.53,47.16,0.0,1.83
1982,1,16,19.02,27.41,12.19,49.42,0.0,1.68
1982,1,17,18.65,26.38,11.69,49.02,0.0,1.29
1982,1,18,19.29,27.21,12.66,48.21,0.0,1.02
1982,1,19,20.33,27.24,14.07,46.93,0.0,0.88
1982,1,20,20.38,27.26,13.75,43.81,0.0,0.94
1982,1,21,19.91,27.04,12.46,37.01,0.02,1.02
1982,1,22,19.83,27.39,11.55,41.27,0.0,1.13
1982,1,23,21.03,29.36,12.45,41.69,0.0,1.25
1982,1,24,21.05,29.68,13.4,48.49,0.0,1.45
1982,1,25,21.1,29.72,13.68,50.6,0.0,1.9
1982,1,26,22.6,31.68,13.85,43.83,0.0,1.19
1982,1,27,22.08,30.78,13.97,43.41,0.0,1.23
1982,1,28,21.14,29.49,14.0,49.58,0.0,1.67
1982,1,29,21.85,29.43,15.38,43.06,0.0,1.41
1982,1,30,21.11,28.46,13.98,44.24,0.0,1.4
1982,1,31,21.45,29.26,15.19,40.74,0.0,0.95
1982,2,1,19.18,24.21,15.61,50.07,0.03,1.67
1982,2,2,19.56,26.82,13.68,59.99,0.26,1.85
1982,2,3,20.0,27.18,12.8,47.21,0.0,1.38
1982,2,4,20.17,27.01,13.68,51.21,0.01,1.63
1982,2,5,20.32,26.79,15.21,57.77,0.34,1.55
1982,2,6,19.34,27.31,12.68,47.61,0.0,2.16
1982,2,7,19.02,27.56,12.51,41.94,0.07,1.44
1982,2,8,19.43,27.68,12.4,39.28,0.0,1.81
1982,2,9,19.01,27.19,11.45,40.18,0.01,1.63
1982,2,10,19.82,28.04,12.28,39.77,0.0,1.3
1982,2,11,19.86,27.91,12.46,44.1,0.0,1.29
1982,2,12,21.88,29.49,15.05,39.7,0.0,1.21
1982,2,13,20.68,26.96,15.33,68.05,0.11,1.25
1982,2,14,23.41,29.95,17.02,58.24,0.01,1.55
1982,2,15,22.46,29.74,15.53,46.86,0.05,1.41
1982,2,16,22.8,30.33,15.56,41.97,0.0,1.05
1982,2,17,23.16,30.27,17.57,49.95,0.0,2.08
1982,2,18,23.8,29.51,18.87,67.89,3.9,1.83
1982,2,19,25.03,33.12,17.63,50.58,0.02,1.8
1982,2,20,24.11,31.23,19.05,54.16,0.08,1.27
1982,2,21,23.35,32.28,15.43,34.49,0.0,1.79
1982,2,22,24.67,32.45,18.06,36.31,0.0,1.42
1982,2,23,23.57,31.3,16.42,40.63,0.0,1.85
1982,2,24,22.62,30.6,15.83,33.02,0.0,1.92
1982,2,25,22.41,31.46,14.6,30.75,0.0,1.72
1982,2,26,22.49,31.46,15.01,28.14,0.0,1.68
1982,2,27,23.41,32.72,16.34,26.83,0.0,1.52
1982,2,28,24.5,33.22,16.06,31.74,0.0,1.81
